epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
85,11246.3,0.64074,0.30631,0.80565,0.50272,0.49647,0.32991,0.09433,3.00096,1.32394,1.62817,0.007228,0.007228,0.007228
86,11378.9,0.64088,0.30613,0.80609,0.50365,0.496,0.33044,0.09423,3.00148,1.32499,1.62783,0.007195,0.007195,0.007195
87,11511,0.63529,0.3035,0.80542,0.50416,0.49615,0.33122,0.09441,3.00192,1.32342,1.62776,0.007162,0.007162,0.007162
88,11643.5,0.63603,0.30397,0.8053,0.50509,0.49634,0.33243,0.09475,3.00324,1.32353,1.62791,0.007129,0.007129,0.007129
89,11775.5,0.6385,0.30498,0.80583,0.50497,0.49598,0.33261,0.09494,3.00509,1.32321,1.62894,0.007096,0.007096,0.007096
90,11907.1,0.63459,0.30295,0.80549,0.5047,0.49545,0.33434,0.09553,3.00608,1.32312,1.62901,0.007063,0.007063,0.007063
91,12039.6,0.63369,0.30313,0.80492,0.50448,0.49504,0.33451,0.09587,3.00711,1.32241,1.62967,0.00703,0.00703,0.00703
92,12172.2,0.6293,0.3014,0.80468,0.50443,0.49472,0.33468,0.09589,3.00867,1.32195,1.6302,0.006997,0.006997,0.006997
93,12304.3,0.63137,0.3016,0.80475,0.50428,0.49463,0.33501,0.09589,3.00829,1.32272,1.63018,0.006964,0.006964,0.006964
94,12435.8,0.62988,0.30088,0.80471,0.50481,0.49577,0.33408,0.09504,3.00789,1.32272,1.63019,0.006931,0.006931,0.006931
95,12568.4,0.62759,0.29995,0.80368,0.50603,0.4963,0.33693,0.09623,3.00742,1.32333,1.63006,0.006898,0.006898,0.006898
96,12700.5,0.62736,0.3,0.80389,0.50694,0.49708,0.3381,0.09619,3.00561,1.32335,1.6287,0.006865,0.006865,0.006865
97,12833.3,0.62514,0.29922,0.80354,0.50747,0.49725,0.33876,0.09647,3.0039,1.32307,1.62765,0.006832,0.006832,0.006832
98,12965.3,0.62539,0.29889,0.80367,0.50791,0.49842,0.33914,0.0968,3.00198,1.32372,1.62673,0.006799,0.006799,0.006799
99,13098,0.62675,0.2992,0.80417,0.50803,0.49752,0.33888,0.09682,3.00254,1.32509,1.62746,0.006766,0.006766,0.006766
100,13230.2,0.62492,0.29871,0.80411,0.50851,0.49806,0.33965,0.09703,3.00256,1.32453,1.62749,0.006733,0.006733,0.006733
101,13362.3,0.6201,0.29648,0.80303,0.50932,0.49882,0.34028,0.09734,3.00133,1.32567,1.62643,0.0067,0.0067,0.0067
